id,title,description,availability,condition,price,link,image_link,brand,product_type
INV-H-001,Inversor híbrido LuxPowerTek 3K 24 V,"Inversor híbrido LuxPowerTek de 3 kW y batería de 24 V, con salida de 120 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,3500.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-001,https://esquisolar.com/assets/productos/inversores/luxpowertek-3k-24v.png,LuxPowerTek,Inversores híbridos
INV-H-002,Inversor híbrido LuxPowerTek 3K 48 V,"Inversor híbrido LuxPowerTek de 3 kW y batería de 48 V, con salida de 120 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,5577.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-002,https://esquisolar.com/assets/productos/inversores/luxpowertek-3k-48v.png,LuxPowerTek,Inversores híbridos
INV-H-003,Inversor híbrido LuxPowerTek PRO 4.5K,"Inversor híbrido LuxPowerTek PRO de 4.5 kW y batería de 48 V, con salida de 120 V. Integra gestión solar, batería y red eléctrica.",in stock,new,8045.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-003,https://esquisolar.com/assets/productos/inversores/luxpowertek-pro-4-5k.png,LuxPowerTek,Inversores híbridos
INV-H-005,LuxPowerTek SNA-US 6000,"Inversor híbrido LuxPowerTek SNA-US 6000 para gestión de energía solar, baterías y red eléctrica, con respaldo y salida split-phase.",in stock,new,12200.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-005,https://esquisolar.com/assets/productos/inversores/luxpowertek-sna-us-6000.png,LuxPowerTek,Inversores híbridos
INV-H-006,Inversor híbrido LuxPowerTek 12–15K,"Inversor híbrido LuxPowerTek de la familia 12–15 kW y batería de 48 V, con salida de 120/240 V para proyectos de mayor capacidad.",in stock,new,19990.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-006,https://esquisolar.com/assets/productos/inversores/luxpowertek-12-15k.png,LuxPowerTek,Inversores híbridos
INV-H-007,Inversor híbrido Growatt 3 kW 24 V,"Inversor híbrido Growatt de 3.0 kW para banco de baterías de 24 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,4995.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-007,https://esquisolar.com/assets/productos/inversores/growatt-3k-24v.png,Growatt,Inversores híbridos
INV-H-008,Inversor híbrido Growatt 3 kW 48 V,"Inversor híbrido Growatt de 3.0 kW para banco de baterías de 48 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,5885.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-008,https://esquisolar.com/assets/productos/inversores/growatt-3k-48v.png,Growatt,Inversores híbridos
INV-H-009,Inversor híbrido Growatt 6 kW 48 V,"Inversor híbrido Growatt de 6.0 kW para banco de baterías de 48 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,11885.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-009,https://esquisolar.com/assets/productos/inversores/growatt-6k-48v.png,Growatt,Inversores híbridos
INV-H-011,Inversor híbrido Growatt 10 kW 48 V,"Inversor híbrido Growatt de 10.0 kW para banco de baterías de 48 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,22995.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-011,https://esquisolar.com/assets/productos/inversores/growatt-10k-48v.png,Growatt,Inversores híbridos
INV-H-010,Inversor híbrido Growatt 12 kW 48 V,"Inversor híbrido Growatt de 12.0 kW para banco de baterías de 48 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,17625.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-010,https://esquisolar.com/assets/productos/inversores/growatt-12k-48v.png,Growatt,Inversores híbridos
INV-H-012,Inversor híbrido Sunshine Solar 3 kW 24 V,"Inversor híbrido Sunshine Solar de 3.0 kW para banco de baterías de 24 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,3695.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-012,https://esquisolar.com/assets/productos/inversores/sunshine-solar-3k-24v.png,Sunshine Solar,Inversores híbridos
INV-H-013,Inversor híbrido Sunshine Solar 3.6 kW 24 V,"Inversor híbrido Sunshine Solar de 3.6 kW para banco de baterías de 24 V. Integra gestión solar, batería y red eléctrica para brindar ahorro y respaldo.",in stock,new,3895.00 GTQ,https://esquisolar.com/productos.html?producto=INV-H-013,https://esquisolar.com/assets/productos/inversores/sunshine-solar-3-6k-24v.png,Sunshine Solar,Inversores híbridos
PAN-001,Panel solar Sunshine Solar 30 W,Panel solar monocristalino Sunshine Solar de 30 W para producir energía limpia en instalaciones solares pequeñas o aisladas.,in stock,new,145.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-001,https://esquisolar.com/assets/productos/paneles/panel-solar-30w.png,Sunshine Solar,Paneles solares
PAN-002,Panel solar Sunshine Solar 60 W,Panel solar monocristalino Sunshine Solar de 60 W para producir energía limpia en instalaciones residenciales o aisladas.,in stock,new,200.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-002,https://esquisolar.com/assets/productos/paneles/panel-solar-60w.png,Sunshine Solar,Paneles solares
PAN-003,Panel solar Sunshine Solar 100 W,Panel solar monocristalino Sunshine Solar de 100 W para producir energía limpia en instalaciones residenciales o aisladas.,in stock,new,340.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-003,https://esquisolar.com/assets/productos/paneles/panel-solar-100w.png,Sunshine Solar,Paneles solares
PAN-004,Panel solar Sunshine Solar 200 W,"Panel solar monocristalino Sunshine Solar de 200 W para producir energía limpia en instalaciones residenciales, comerciales o aisladas.",in stock,new,420.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-004,https://esquisolar.com/assets/productos/paneles/panel-solar-200w.png,Sunshine Solar,Paneles solares
PAN-005,Panel solar Sunshine Solar 300 W,"Panel solar monocristalino Sunshine Solar de 300 W para producir energía limpia en instalaciones residenciales, comerciales o aisladas.",in stock,new,630.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-005,https://esquisolar.com/assets/productos/paneles/panel-solar-300w.png,Sunshine Solar,Paneles solares
PAN-006,Panel solar Sunshine Solar 450 W,"Panel solar monocristalino Sunshine Solar de 450 W para producir energía limpia en instalaciones residenciales, comerciales o aisladas.",in stock,new,750.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-006,https://esquisolar.com/assets/productos/paneles/panel-solar-450w.png,Sunshine Solar,Paneles solares
PAN-007,Panel solar Sunshine Solar 500 W,"Panel solar monocristalino Sunshine Solar de 500 W para producir energía limpia en instalaciones residenciales, comerciales o aisladas.",in stock,new,815.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-007,https://esquisolar.com/assets/productos/paneles/panel-solar-500w.png,Sunshine Solar,Paneles solares
PAN-008,Panel solar bifacial JA Solar 620 W,"Panel solar bifacial JA Solar de 620 W, tecnología n-type y doble vidrio para proyectos fotovoltaicos residenciales y comerciales.",in stock,new,1195.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-008,https://esquisolar.com/assets/productos/paneles/panel-ja-solar-620w.png,JA Solar,Paneles solares
PAN-009,Panel solar bifacial JA Solar 625 W,"Panel solar bifacial JA Solar de 625 W para producir energía limpia en instalaciones residenciales, comerciales o aisladas.",in stock,new,1245.00 GTQ,https://esquisolar.com/productos.html?producto=PAN-009,https://esquisolar.com/assets/productos/paneles/panel-ja-solar-625w.png,JA Solar,Paneles solares
FOC-001,Foco LED Suki 12 V 7 W,"Foco LED Suki 12 V 7 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,13.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-001,https://esquisolar.com/assets/productos/focos/foco-suki-7w.png,Suki,Focos LED
FOC-002,Foco LED Suki 12 V 9 W,"Foco LED Suki 12 V 9 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,17.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-002,https://esquisolar.com/assets/productos/focos/foco-suki-9w.png,Suki,Focos LED
FOC-003,Foco LED multivoltaje Nuevasa 12–85 V 3 W,"Foco LED multivoltaje Nuevasa 12–85 V 3 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,16.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-003,https://esquisolar.com/assets/productos/focos/foco-nuevasa-3w.png,Nuevasa,Focos LED
FOC-004,Foco LED multivoltaje Nuevasa 12–85 V 5 W,"Foco LED multivoltaje Nuevasa 12–85 V 5 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,20.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-004,https://esquisolar.com/assets/productos/focos/foco-nuevasa-5w.png,Nuevasa,Focos LED
FOC-005,Foco LED multivoltaje Nuevasa 12–85 V 7 W,"Foco LED multivoltaje Nuevasa 12–85 V 7 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,23.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-005,https://esquisolar.com/assets/productos/focos/foco-nuevasa-7w.png,Nuevasa,Focos LED
FOC-006,Foco LED multivoltaje Nuevasa 12–85 V 9 W,"Foco LED multivoltaje Nuevasa 12–85 V 9 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,27.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-006,https://esquisolar.com/assets/productos/focos/foco-nuevasa-9w.png,Nuevasa,Focos LED
FOC-007,Foco LED multivoltaje Nuevasa 12–85 V 12 W,"Foco LED multivoltaje Nuevasa 12–85 V 12 W. Solución de iluminación eficiente para sistemas de corriente continua. Ideal para viviendas, comercios o instalaciones solares compatibles con el voltaje indicado.",in stock,new,32.00 GTQ,https://esquisolar.com/productos.html?producto=FOC-007,https://esquisolar.com/assets/productos/focos/foco-nuevasa-12w.png,Nuevasa,Focos LED
BAT-001,Batería de gel Sunlight 12 V 30 Ah,"Batería de gel Sunlight 12 V 30 Ah. Batería sellada tipo gel para almacenamiento de energía en sistemas solares y respaldo. Capacidad nominal indicada en el nombre; confirmar ciclos, peso y garantía según el modelo entregado.",in stock,new,460.00 GTQ,https://esquisolar.com/productos.html?producto=BAT-001,https://esquisolar.com/assets/productos/baterias/bateria-sunlight-30ah.png,Sunlight,Baterías
BAT-002,Batería de gel Sunlight 12 V 60 Ah,"Batería de gel Sunlight 12 V 60 Ah. Batería sellada tipo gel para almacenamiento de energía en sistemas solares y respaldo. Capacidad nominal indicada en el nombre; confirmar ciclos, peso y garantía según el modelo entregado.",in stock,new,725.00 GTQ,https://esquisolar.com/productos.html?producto=BAT-002,https://esquisolar.com/assets/productos/baterias/bateria-sunlight-60ah.png,Sunlight,Baterías
BAT-003,Batería de gel Sonne 12 V 100 Ah,"Batería de gel Sonne 12 V 100 Ah. Batería sellada tipo gel para almacenamiento de energía en sistemas solares y respaldo. Capacidad nominal indicada en el nombre; confirmar ciclos, peso y garantía según el modelo entregado.",in stock,new,1500.00 GTQ,https://esquisolar.com/productos.html?producto=BAT-003,https://esquisolar.com/assets/productos/baterias/bateria-sonne-100ah.png,Sonne,Baterías
BAT-004,Batería de gel Sonne 12 V 150 Ah,"Batería de gel Sonne 12 V 150 Ah. Batería sellada tipo gel para almacenamiento de energía en sistemas solares y respaldo. Capacidad nominal indicada en el nombre; confirmar ciclos, peso y garantía según el modelo entregado.",in stock,new,1950.00 GTQ,https://esquisolar.com/productos.html?producto=BAT-004,https://esquisolar.com/assets/productos/baterias/bateria-sonne-150ah.png,Sonne,Baterías
